time,sst
2015-07-15,29.4876876646993
2015-07-16,27.4660262563195
2015-07-17,27.971768566017
2015-07-18,28.3035809492634
2015-07-19,29.1493067051844
2015-07-20,28.9695301853828
2015-07-21,28.2922427669313
2015-07-22,28.5917245751556
2015-07-23,28.1815937703653
2015-07-24,28.9745848720027
2015-07-25,28.7389233102555
2015-07-26,28.4980536533871
2015-07-27,27.6964396334138
2015-07-28,27.4406964480361
2015-07-29,28.1819471075695
2015-07-30,27.3659406840286
2015-07-31,28.6791394791079
2015-08-01,28.7366553993062
2015-08-02,29.2462292631853
2015-08-03,29.0720853748215
2015-08-04,28.9397385539231
2015-08-05,28.9629511014744
2015-08-06,28.0465790980473
2015-08-07,28.7004734922331
2015-08-08,28.364280048095
2015-08-09,28.6538212820697
